ubigeo	entidad	municipio	parroquia	lat	lon	capital
030102	Anzoátegui	Anaco	San Joaquin	9.30941920	-64.48370580	f
030103	Anzoátegui	Anaco	Buena vista	9.38374020	-64.50591470	f
030202	Anzoátegui	Aragua	Cachipo	8.96666700	-64.63333290	f
032102	Anzoátegui	Diego Bautista Urbaneja	El Morro	10.20639690	-64.70586990	f
030302	Anzoátegui	Fernando de Peñalver	San Miguel	9.90099400	-64.98751100	f
032101	Anzoátegui	Diego Bautista Urbaneja	Diego Bautista Urbaneja	10.17559900	-64.68225090	t
030402	Anzoátegui	Francisco del Carmen Carvajal	Santa Barbara	9.89796270	-65.61831820	f
020102	Amazonas	Alto Orinoco	Marawaka	2.51221980	-64.71624150	f
030502	Anzoátegui	Francisco de Miranda	Atapirire	8.42759600	-64.36685900	f
030503	Anzoátegui	Francisco de Miranda	Boca del Pao	8.11765400	-64.30307800	f
030504	Anzoátegui	Francisco de Miranda	El Pao	8.11765400	-64.30307800	f
030505	Anzoátegui	Francisco de Miranda	Mucura	8.59130730	-63.95861110	f
020103	Amazonas	Alto Orinoco	Mavaca	2.51221980	-64.71624150	f
020104	Amazonas	Alto Orinoco	Sierra Parima	2.51221980	-64.71624150	f
030702	Anzoátegui	Independencia	Mamo	8.44408200	-63.01918000	f
020201	Amazonas	Atabapo	Ucata	3.89234430	-66.80819790	f
030802	Anzoátegui	Juan Antonio Sotillo	Pozuelos	10.18840810	-64.64166100	f
030902	Anzoátegui	Juan Manuel Cajigal	San Pablo	9.53204720	-65.14325180	f
020202	Amazonas	Atabapo	Yapacana	3.89234430	-66.80819790	f
031102	Anzoátegui	Libertad	El Carito	9.78714170	-64.74143120	f
031103	Anzoátegui	Libertad	Santa Ines	9.90485330	-64.35344800	f
020401	Amazonas	Autana	Samariapo	5.14334280	-67.57085360	f
031202	Anzoátegui	Manuel Ezequiel Bruzual	Guanape	9.94722220	-65.52277780	f
031203	Anzoátegui	Manuel Ezequiel Bruzual	Sabana de Uchire	10.01714510	-65.52028750	f
031602	Anzoátegui	San Juan de Capistrano	Boca de Chavez	10.08333300	-65.38333290	f
020402	Amazonas	Autana	Sipapo	5.14334280	-67.57085360	f
031702	Anzoátegui	Santa Ana	Pueblo Nuevo	9.30645350	-64.66290530	f
020403	Amazonas	Autana	Munduapo	5.14334280	-67.57085360	f
032002	Anzoátegui	Sir Arthur Mc Gregor	Tomas Alfaro Calatrava	8.59130730	-63.95861110	f
020404	Amazonas	Autana	Guayapo	5.14334280	-67.57085360	f
070201	Bolívar	Cedeño	Seccion Capital Cedeño	6.81371510	-66.23671720	f
070202	Bolívar	Cedeño	Altagracia	7.86666700	-65.55000000	f
070203	Bolívar	Cedeño	Ascension Farreras	6.81371510	-66.23671720	f
070204	Bolívar	Cedeño	Guaniamo	7.63833890	-66.16816320	f
070206	Bolívar	Cedeño	Pijiguaos	6.57213280	-66.81117570	f
070401	Bolívar	Gran Sabana	Seccion Capital Gran Sabana	5.34717990	-61.70056500	f
070402	Bolívar	Gran Sabana	Ikabaru	4.60151410	-61.10850510	f
070501	Bolívar	Heres	Agua Salada	8.12123060	-63.58128130	f
070502	Bolívar	Heres	Catedral	8.12737760	-63.54445980	f
070504	Bolívar	Heres	La Sabanita	8.12061990	-63.55995610	f
070505	Bolívar	Heres	Marhuanta	8.10182460	-63.46850650	f
070506	Bolívar	Heres	Vista Hermosa	8.11017220	-63.53487770	f
070507	Bolívar	Heres	Orinoco	8.14577550	-63.54273320	f
070508	Bolívar	Heres	Panapana	8.23333300	-63.25000000	f
070509	Bolívar	Heres	Zea	8.14444530	-63.54667210	f
